profile,mode,phase,layer,path,component,count,total_ms,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
full_fp_eager_layer,full_fp,decode,24,fp,total,31,80.43519997596741,2.594683870192497,2.589632034301758,2.5921919345855713,2.6683744192123413,2.5857601165771484,2.6688640117645264
full_fp_eager_layer,full_fp,decode,25,fp,attention,31,16.588895857334137,0.5351256728172302,0.5352320075035095,0.5362240076065063,0.5365759909152985,0.5328959822654724,0.5366719961166382
full_fp_eager_layer,full_fp,decode,25,fp,input_norm,31,0.2239679996855557,0.007224774183405023,0.00723200011998415,0.007296000141650438,0.007587199844419956,0.007007999811321497,0.007615999784320593
full_fp_eager_layer,full_fp,decode,25,fp,mlp,31,63.03711986541748,2.033455479529596,2.0332159996032715,2.0355520248413086,2.037331199645996,2.030816078186035,2.0377919673919678
full_fp_eager_layer,full_fp,decode,25,fp,post_attn_norm,31,0.20870400127023458,0.006732387137749503,0.006719999946653843,0.006816000211983919,0.007302399910986423,0.006560000125318766,0.007455999962985516
full_fp_eager_layer,full_fp,decode,25,fp,total,31,80.20630407333374,2.5873001313978627,2.58735990524292,2.5891520977020264,2.5905184507369996,2.5846400260925293,2.5906240940093994
full_fp_eager_layer,full_fp,decode,26,fp,attention,31,16.600831925868988,0.5355107072860964,0.5358080267906189,0.5368639826774597,0.5378431975841522,0.5333759784698486,0.5379199981689453
full_fp_eager_layer,full_fp,decode,26,fp,input_norm,31,0.22483200021088123,0.007252645168092943,0.00723200011998415,0.007360000163316727,0.007638399861752986,0.007104000076651573,0.00774399982765317
full_fp_eager_layer,full_fp,decode,26,fp,mlp,31,63.010112285614014,2.0325842672778713,2.0328640937805176,2.0347840785980225,2.0352256059646607,2.028831958770752,2.035264015197754
full_fp_eager_layer,full_fp,decode,26,fp,post_attn_norm,31,0.2080000014975667,0.006709677467663442,0.006719999946653843,0.006783999968320131,0.006816000211983919,0.006560000125318766,0.006816000211983919
full_fp_eager_layer,full_fp,decode,26,fp,total,31,80.1910400390625,2.5868077431955645,2.586944103240967,2.589087963104248,2.590291213989258,2.58134388923645,2.5903680324554443
full_fp_eager_layer,full_fp,decode,27,fp,attention,31,16.54835194349289,0.5338178046288029,0.5337920188903809,0.5350720286369324,0.5353888034820556,0.5318719744682312,0.5354560017585754
full_fp_eager_layer,full_fp,decode,27,fp,input_norm,31,0.22598400013521314,0.007289806455974618,0.00723200011998415,0.007615999784320593,0.007843200257048011,0.007071999832987785,0.007872000336647034
full_fp_eager_layer,full_fp,decode,27,fp,mlp,31,63.01980710029602,2.0328970032353557,2.032576084136963,2.0356481075286865,2.035971188545227,2.0279359817504883,2.0360000133514404
full_fp_eager_layer,full_fp,decode,27,fp,post_attn_norm,31,0.2252159989438951,0.007265032223996616,0.007199999876320362,0.007455999962985516,0.007702399976551533,0.007104000076651573,0.007712000049650669
full_fp_eager_layer,full_fp,decode,27,fp,total,31,80.16841650009155,2.5860779516158567,2.5858240127563477,2.5891520977020264,2.58971529006958,2.5812160968780518,2.589888095855713
full_fp_eager_layer,full_fp,decode,28,fp,attention,31,16.535104036331177,0.5333904527848766,0.5331839919090271,0.5350720286369324,0.5356352210044861,0.5317440032958984,0.5358080267906189
full_fp_eager_layer,full_fp,decode,28,fp,input_norm,31,0.22588799940422177,0.007286709658200702,0.00723200011998415,0.007679999805986881,0.007855999702587723,0.007040000054985285,0.007903999648988247
