profile,source,request_index,token_index,arrival_ms,inter_token_ms,token_id
static_ptq_tail_cudagraph,baseline,0,28,1141.732287,38.061861000000135,13
static_ptq_tail_cudagraph,baseline,0,29,1179.727462,37.99517500000002,578
static_ptq_tail_cudagraph,baseline,0,30,1217.755436,38.02797399999986,4062
static_ptq_tail_cudagraph,baseline,0,31,1255.802994,38.04755799999998,14198
static_ptq_tail_cudagraph,baseline,0,32,1293.890966,38.087972000000036,39935
static_ptq_tail_cudagraph,baseline,1,1,114.846871,,578
static_ptq_tail_cudagraph,baseline,1,2,152.733123,37.88625200000001,4062
static_ptq_tail_cudagraph,baseline,1,3,190.741449,38.00832599999998,14198
static_ptq_tail_cudagraph,baseline,1,4,228.820974,38.07952500000002,39935
static_ptq_tail_cudagraph,baseline,1,5,266.821045,38.00007100000002,35308
static_ptq_tail_cudagraph,baseline,1,6,304.885498,38.06445299999996,927
static_ptq_tail_cudagraph,baseline,1,7,342.904576,38.019078000000036,279
static_ptq_tail_cudagraph,baseline,1,8,380.924167,38.01959099999999,16053
static_ptq_tail_cudagraph,baseline,1,9,418.91627,37.992102999999986,5679
static_ptq_tail_cudagraph,baseline,1,10,456.921397,38.005127000000016,3221
static_ptq_tail_cudagraph,baseline,1,11,494.931772,38.01037500000001,279
static_ptq_tail_cudagraph,baseline,1,12,532.946947,38.015175,15140
static_ptq_tail_cudagraph,baseline,1,13,570.947082,38.000135,6964
static_ptq_tail_cudagraph,baseline,1,14,608.971889,38.02480700000001,13
static_ptq_tail_cudagraph,baseline,1,15,647.006454,38.03456499999993,578
static_ptq_tail_cudagraph,baseline,1,16,685.044444,38.037990000000036,4062
static_ptq_tail_cudagraph,baseline,1,17,723.131488,38.08704399999999,14198
static_ptq_tail_cudagraph,baseline,1,18,761.099337,37.967849,39935
static_ptq_tail_cudagraph,baseline,1,19,799.155952,38.056614999999965,35308
static_ptq_tail_cudagraph,baseline,1,20,837.153497,37.99754500000006,927
static_ptq_tail_cudagraph,baseline,1,21,875.157922,38.00442499999997,279
static_ptq_tail_cudagraph,baseline,1,22,913.285351,38.12742900000001,16053
static_ptq_tail_cudagraph,baseline,1,23,951.287824,38.00247300000001,5679
static_ptq_tail_cudagraph,baseline,1,24,989.443092,38.15526799999998,3221
static_ptq_tail_cudagraph,baseline,1,25,1027.730483,38.28739100000007,279
static_ptq_tail_cudagraph,baseline,1,26,1065.872695,38.14221199999997,15140
static_ptq_tail_cudagraph,baseline,1,27,1104.128343,38.255648000000065,6964
static_ptq_tail_cudagraph,baseline,1,28,1142.366071,38.237727999999834,13
static_ptq_tail_cudagraph,baseline,1,29,1180.462365,38.09629400000017,578
static_ptq_tail_cudagraph,baseline,1,30,1218.458279,37.99591399999986,4062
static_ptq_tail_cudagraph,baseline,1,31,1256.506926,38.048647000000074,14198
static_ptq_tail_cudagraph,baseline,1,32,1294.548214,38.041287999999895,39935
static_ptq_tail_cudagraph,baseline,2,1,115.072533,,578
static_ptq_tail_cudagraph,baseline,2,2,152.923332,37.85079899999998,4062
static_ptq_tail_cudagraph,baseline,2,3,190.938572,38.015240000000006,14198
static_ptq_tail_cudagraph,baseline,2,4,228.962901,38.024328999999994,39935
static_ptq_tail_cudagraph,baseline,2,5,266.970366,38.007465000000025,35308
static_ptq_tail_cudagraph,baseline,2,6,304.973767,38.003401,927
static_ptq_tail_cudagraph,baseline,2,7,343.134314,38.16054700000001,279
static_ptq_tail_cudagraph,baseline,2,8,381.018743,37.884428999999955,16053
static_ptq_tail_cudagraph,baseline,2,9,419.039616,38.02087300000005,5679
static_ptq_tail_cudagraph,baseline,2,10,457.046953,38.00733699999995,3221
static_ptq_tail_cudagraph,baseline,2,11,495.165359,38.11840600000005,279
static_ptq_tail_cudagraph,baseline,2,12,533.357844,38.19248499999998,15140
static_ptq_tail_cudagraph,baseline,2,13,571.301153,37.943309,6964
static_ptq_tail_cudagraph,baseline,2,14,609.266605,37.96545200000003,13
static_ptq_tail_cudagraph,baseline,2,15,647.282392,38.01578699999993,578
static_ptq_tail_cudagraph,baseline,2,16,685.307906,38.025514000000044,4062
static_ptq_tail_cudagraph,baseline,2,17,723.351276,38.04336999999998,14198
static_ptq_tail_cudagraph,baseline,2,18,761.39071,38.03943400000003,39935
static_ptq_tail_cudagraph,baseline,2,19,799.409601,38.01889099999994,35308
static_ptq_tail_cudagraph,baseline,2,20,837.404876,37.99527499999999,927
static_ptq_tail_cudagraph,baseline,2,21,875.484116,38.07924000000003,279
static_ptq_tail_cudagraph,baseline,2,22,913.489695,38.00557900000001,16053
static_ptq_tail_cudagraph,baseline,2,23,951.507434,38.017739000000006,5679
static_ptq_tail_cudagraph,baseline,2,24,989.562899,38.05546500000003,3221
static_ptq_tail_cudagraph,baseline,2,25,1027.627164,38.06426499999998,279
static_ptq_tail_cudagraph,baseline,2,26,1065.627399,38.000234999999975,15140
static_ptq_tail_cudagraph,baseline,2,27,1103.667697,38.04029800000012,6964
static_ptq_tail_cudagraph,baseline,2,28,1141.673372,38.00567499999988,13
static_ptq_tail_cudagraph,baseline,2,29,1179.721638,38.04826600000001,578
static_ptq_tail_cudagraph,baseline,2,30,1217.791279,38.06964100000005,4062
static_ptq_tail_cudagraph,baseline,2,31,1255.802585,38.01130599999988,14198
static_ptq_tail_cudagraph,baseline,2,32,1293.894145,38.09156000000007,39935
static_ptq_tail_cudagraph,baseline,3,1,115.173144,,578
static_ptq_tail_cudagraph,baseline,3,2,153.024904,37.85176,4062
static_ptq_tail_cudagraph,baseline,3,3,191.100146,38.075242,14198
static_ptq_tail_cudagraph,baseline,3,4,229.085312,37.98516599999999,39935
static_ptq_tail_cudagraph,baseline,3,5,267.070093,37.984781,35308
static_ptq_tail_cudagraph,baseline,3,6,305.106617,38.03652400000004,927
static_ptq_tail_cudagraph,baseline,3,7,343.104839,37.998222,279
static_ptq_tail_cudagraph,baseline,3,8,381.123891,38.01905199999999,16053
static_ptq_tail_cudagraph,baseline,3,9,419.161855,38.03796399999999,5679
static_ptq_tail_cudagraph,baseline,3,10,457.142061,37.98020600000001,3221
static_ptq_tail_cudagraph,baseline,3,11,495.15881,38.016749000000004,279
static_ptq_tail_cudagraph,baseline,3,12,533.161095,38.00228500000003,15140
static_ptq_tail_cudagraph,baseline,3,13,571.179156,38.01806099999999,6964
static_ptq_tail_cudagraph,baseline,3,14,609.214688,38.03553199999999,13
static_ptq_tail_cudagraph,baseline,3,15,647.231532,38.01684399999999,578
static_ptq_tail_cudagraph,baseline,3,16,685.314998,38.08346599999993,4062
static_ptq_tail_cudagraph,baseline,3,17,723.268325,37.95332700000006,14198
static_ptq_tail_cudagraph,baseline,3,18,761.28677,38.01844500000004,39935
static_ptq_tail_cudagraph,baseline,3,19,799.372412,38.08564200000001,35308
